"index","id","name","primaryMuscle","inferredMuscle","bodyPart","equipment","imageTarget","videoTarget","duplicateCount","quality","flags"
"3613","cardio_lunge","Cardio Lunge","Quads","Quads","Plyometrics","Body weight","","","1","74",""
"3614","ceiling_look_stretch","Ceiling Look Stretch","Quads","Custom","Thighs","Body weight","Thighs","Thighs","2","74","image_target:Thighs;video_target:Thighs;duplicate_group"
"3615","ceiling_look_stretch_ceiling_look_stretch_6g4","Ceiling Look Stretch","Quads","Custom","Quadriceps, Thighs","Body weight","Thighs","Thighs","2","74","image_target:Thighs;video_target:Thighs;duplicate_group"
"3616","chair_leg_extended_stretch","Chair Leg Extended Stretch","Quads","Custom","Thighs","Body weight","Thighs","","1","44","missing_video;image_target:Thighs"
"3617","clap_push_up","Clap Push Up","Quads","Chest","Plyometrics","Body weight","Chest","Chest","1","74","muscle_mismatch:Quads->Chest"
"3618","climbing_monkey_bars","Climbing Monkey Bars","Quads","Custom","Plyometrics","Body weight","","","1","44","missing_video"
"3619","control_balance","Control Balance","Quads","Custom","Thighs","Body weight","","","1","74",""
"3620","corkscrew","Corkscrew","Quads","Custom","Thighs","Body weight","","","1","74",""
"3621","cossack_squats","Cossack Squats","Quads","Quads","Quadriceps, Thighs","Body weight","Thighs","Thighs","1","74",""
"3622","couch_stretch","Couch Stretch","Quads","Custom","Thighs","Body weight","","","1","44","missing_video"
"3623","counterbalanced_skater_squat","Counterbalanced Skater Squat","Quads","Quads","Thighs","Body weight","","Thighs","1","54","missing_image"
"3624","crawl_to_crab","Crawl to Crab","Quads","Custom","Plyometrics","Body weight","","","1","44","missing_video"
"3625","cross_body_push_up","Cross Body Push-up","Quads","Chest","Plyometrics","Body weight","","","1","44","missing_video;muscle_mismatch:Quads->Chest"
"3626","crossover_reverse_lunge","Crossover Reverse Lunge","Quads","Quads","Thighs","Body weight","Thighs","","1","44","missing_video"
"3627","curtsey_squat","Curtsey Squat","Quads","Quads","Quadriceps, Thighs","Body weight","Thighs","Thighs","1","74",""
"3628","depth_jump_to_hurdle_hop","Depth Jump to Hurdle Hop","Quads","Custom","Plyometrics","Body weight","","","1","44","missing_video"
"3629","diagonal_lunge","Diagonal Lunge","Quads","Quads","Plyometrics","Body weight","","","1","54","missing_image"
"3630","double_jump_squat","Double Jump Squat","Quads","Quads","Plyometrics","Body weight","Thighs","Thighs","1","74",""
"3631","double_lean_back_quadriceps_stretch","Double Lean Back Quadriceps Stretch","Quads","Back","Thighs","Body weight","Thighs","Thighs","1","74","muscle_mismatch:Quads->Back;image_target:Thighs;video_target:Thighs"
"3632","double_leg_butt_kick","Double Leg Butt Kick","Quads","Custom","Plyometrics","Body weight","","","1","44","missing_video"
"3633","double_leg_stretch","Double Leg Stretch","Quads","Custom","Thighs","Body weight","","","1","74",""
"3634","downward_facing_dog","Downward Facing Dog","Quads","Custom","Upper Arms, Thighs","Body weight","","","1","74",""
"3635","downward_facing_dog_spine_mobility","Downward Facing Dog Spine Mobility","Quads","Custom","Thighs","Body weight","","","1","44","missing_video"
"3636","downward_facing_dog_toe_touch","Downward Facing Dog Toe Touch","Quads","Custom","Thighs","Body weight","","","1","44","missing_video"
"3637","dumbbell_assisted_bulgarian_split_squat","Dumbbell Assisted Bulgarian Split Squat","Quads","Quads","Thighs","Dumbbell","Thighs","","1","44","missing_video"
"3638","dumbbell_bench_one_leg_squat","Dumbbell Bench One Leg Squat","Quads","Quads","Thighs","Dumbbell","Thighs","","1","44","missing_video"
"3639","dumbbell_bench_squat","Dumbbell Bench Squat","Quads","Quads","Thighs","Dumbbell","Thighs","Thighs","2","74","duplicate_group"
"3640","dumbbell_bench_squat_dumbbell_bench_squat_6hj","Dumbbell Bench Squat","Quads","Quads","Quadriceps, Thighs","Dumbbell","Thighs","Thighs","2","74","duplicate_group"
"3641","dumbbell_bulgarian_split_squat","Dumbbell Bulgarian Split Squat","Quads","Quads","Quadriceps, Thighs","Dumbbell","Thighs","Thighs","1","74",""
"3642","dumbbell_clean","Dumbbell Clean","Quads","Custom","Quadriceps, Thighs","Dumbbell","Thighs","Thighs","1","74","image_target:Thighs;video_target:Thighs"
"3643","dumbbell_complex_push_up_row_clean_and_press","Dumbbell Complex Push-Up Row Clean and Press","Quads","Chest","Plyometrics","Dumbbell","","","1","44","missing_video;muscle_mismatch:Quads->Chest"
"3644","dumbbell_contralateral_forward_lunge","Dumbbell Contralateral Forward Lunge","Quads","Quads","Quadriceps, Thighs","Dumbbell","Thighs","","1","44","missing_video"
"3645","dumbbell_cossack_squats_dumbbell_cossack_squats_9ko","Dumbbell Cossack Squats","Quads","Quads","Thighs","Dumbbell","Thighs","","2","44","missing_video;duplicate_group"
"3646","dumbbell_cossack_squats","Dumbbell Cossack Squats","Quads","Quads","Thighs","Dumbbell","","","2","24","missing_image;missing_video;duplicate_group"
"3647","dumbbell_curtsey_lunge","Dumbbell Curtsey lunge","Quads","Quads","Quadriceps, Thighs","Dumbbell","Thighs","","1","44","missing_video"
"3648","dumbbell_decline_bench_lunge","Dumbbell Decline Bench Lunge","Quads","Quads","Thighs","Dumbbell","Thighs","","1","44","missing_video"
"3649","dumbbell_farmers_carry","Dumbbell Farmers Carry","Quads","Forearms","Thighs","Dumbbell","Thighs","","1","44","missing_video;muscle_mismatch:Quads->Forearms;image_target:Thighs"
"3650","dumbbell_forward_leaning_lunge","Dumbbell forward leaning lunge","Quads","Quads","Quadriceps, Thighs","Dumbbell","Thighs","","1","44","missing_video"
"3651","dumbbell_front_rack_lunge","Dumbbell Front Rack Lunge","Quads","Quads","Quadriceps, Thighs","Dumbbell","Thighs","Thighs","1","74",""
"3652","dumbbell_front_squat","Dumbbell Front Squat","Quads","Quads","Quadriceps, Thighs","Dumbbell","Thighs","Thighs","2","74","duplicate_group"
"3653","dumbbell_front_squat_dumbbell_front_squat_83x","Dumbbell Front Squat","Quads","Quads","Quadriceps, Thighs","Dumbbell","Thighs","Thighs","2","74","duplicate_group"
"3654","dumbbell_gobelt_curtsey_lunge","Dumbbell Gobelt Curtsey Lunge","Quads","Quads","Quadriceps, Thighs","Dumbbell","Thighs","Thighs","1","74",""
"3655","dumbbell_goblet_box_squat","Dumbbell Goblet Box Squat","Quads","Quads","Quadriceps, Thighs","Dumbbell","Thighs","","1","44","missing_video"
"3656","dumbbell_goblet_split_squat","Dumbbell Goblet Split Squat","Quads","Quads","Quadriceps, Thighs","Dumbbell","Thighs","","1","44","missing_video"
"3657","dumbbell_goblet_split_squat_front_foot_elevanted_dumbbell_goblet_split_squat_front_foot_elevanted_83m","Dumbbell Goblet Split Squat Front Foot Elevanted","Quads","Quads","Quadriceps, Thighs","Dumbbell","Thighs","Thighs","2","74","duplicate_group"
"3658","dumbbell_goblet_split_squat_front_foot_elevanted","Dumbbell Goblet Split Squat Front Foot Elevanted","Quads","Quads","Quadriceps, Thighs","Dumbbell","Thighs","Thighs","2","74","duplicate_group"
"3659","dumbbell_goblet_squat","Dumbbell Goblet Squat","Quads","Quads","Quadriceps, Thighs","Dumbbell","Thighs","Thighs","1","74",""
"3660","dumbbell_high_low_carry","Dumbbell High Low Carry","Quads","Custom","Thighs","Dumbbell","Thighs","","1","44","missing_video;image_target:Thighs"
"3661","dumbbell_ipsilateral_split_squat","Dumbbell Ipsilateral Split Squat","Quads","Quads","Thighs","Dumbbell","Thighs","","1","44","missing_video"
"3662","dumbbell_iron_cross_dumbbell_iron_cross_8v2","Dumbbell Iron Cross","Quads","Custom","Quadriceps, Thighs","Dumbbell","Shoulders","Shoulders","1","74","image_target:Shoulders;video_target:Shoulders"
"3663","dumbbell_jumping_squat","Dumbbell Jumping Squat","Quads","Quads","Plyometrics","Dumbbell","","","1","74",""
"3664","dumbbell_kneeling_hold_to_stand","Dumbbell Kneeling Hold to Stand","Quads","Custom","Quadriceps, Thighs","Dumbbell","Thighs","Thighs","1","74","image_target:Thighs;video_target:Thighs"
"3665","dumbbell_lateral_step_up","Dumbbell Lateral Step-Up","Quads","Custom","Quadriceps, Thighs","Dumbbell","Thighs","Thighs","1","74","image_target:Thighs;video_target:Thighs"
"3666","dumbbell_lunge","Dumbbell Lunge","Quads","Quads","Quadriceps, Thighs","Dumbbell","Thighs","Thighs","2","74","duplicate_group"
"3667","dumbbell_lunge_dumbbell_lunge_8o5","Dumbbell Lunge","Quads","Quads","Quadriceps, Thighs","Dumbbell","Thighs","","2","44","missing_video;duplicate_group"
"3668","dumbbell_lying_femoral","Dumbbell Lying Femoral","Quads","Custom","Thighs","Dumbbell","Thighs","Thighs","2","74","image_target:Thighs;video_target:Thighs;duplicate_group"
